Marca,Correo Principal,Contacto Principal,Nicho,Campaña,Estado,Notas
Anker,pr@anker.com,PR Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Anker (Marketing),marketing@anker.com,Marketing Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Anker (Influencers),influencer@anker.com,Influencer Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Dreame (Marketing),marketing@dreame.tech,Marketing Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Dreame (Ventas),sales@dreame.tech,Sales Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Ugreen (PR),pr@ugreen.com,PR Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
Ugreen (Marketing),marketing@ugreen.com,Marketing Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
Ugreen (Afiliados),affiliate@ugreen.com,Affiliates Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
Jackery (Marketing),marketing@jackery.com,Marketing Team,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
Jackery (Europe),marketing.eu@jackery.com,Europe Marketing,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
Jackery (Sales),sales@jackery.com,Sales Team,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
EcoFlow (Europe PR),media.eu@ecoflow.com,Europe PR,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
EcoFlow (US PR),media.na@ecoflow.com,US PR,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
EcoFlow (Europe Influencers),influencer.eu@ecoflow.com,Europe Influencers,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
EcoFlow (US Influencers),Influencer@ecoflow.com,US Influencers,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
Roborock (PR),media@roborock.com,PR Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Roborock (EU PR),media@garden.roborock.com,EU PR Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Roborock (Influencers),kol@roborock.com,KOL Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Roborock (Spain),spain@roborock.com,Spain Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Ecovacs (PR),media@ecovacs.com,PR Team,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
Ecovacs (EMEA),emea_info@ecovacs.com,EMEA Info,Smart Home,IFA 2026,Pending,Outreach for IFA 2026
DJI (PR),pr@dji.com,PR Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
DJI (US PR),pr.us@dji.com,US PR Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
DJI (Marketing),marketing@dji.com,Marketing Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
DJI (KOL),KOL@influencer.dji.com,KOL Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
Insta360 (PR),pr@insta360.com,PR Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
Insta360 (Marketing),marketing@insta360.com,Marketing Team,Drones & Cameras,IFA 2026,Pending,Outreach for IFA 2026
Timekettle,social@timekettle.co,Social Team,Translators,IFA 2026,Pending,Outreach for IFA 2026
Bluetti (Marketing),marketing@bluetti.com,Marketing Team,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
Bluetti (KOL),kol@bluetti.com,KOL Team,Solar & Power,IFA 2026,Pending,Outreach for IFA 2026
Baseus (Afiliados),affiliate@baseus.com,Affiliates Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
Baseus (Europa),baseus.de@baseus.com,Europe Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
Pitaka,distributor@ipitaka.com,Sales Team,Chargers & Accessories,IFA 2026,Pending,Outreach for IFA 2026
